"","インターバル","ステップタイプ","ラップ","タイム","累積時間","距離","平均ペース","平均心拍数","最大心拍数","総上昇量","総下降量","平均ピッチ","平均歩幅","カロリー","最高ペース","最高ピッチ","移動時間","平均移動ペース"
"","1","ラン","1 - 10","42:38","42:38","8.16","5:14","149","161","73","72","164","1.17","453","3:18","204","42:35","5:13"
"","","ラン","1","5:20.0","5:20.0","1.00","5:20","136","149","4","4","162","1.16","54","5:03","169","5:20.0","5:20"
"","","ラン","2","5:13.4","10:33","1.00","5:13","148","151","7","8","165","1.16","56","5:06","168","5:13.4","5:13"
"","","ラン","3","5:13.2","15:47","1.00","5:13","149","153","3","2","162","1.18","56","5:08","168","5:13","5:13"
"","","ラン","4","5:09.6","20:56","1.00","5:10","152","155","4","8","164","1.18","56","4:54","169","5:09.6","5:10"
"","","ラン","5","5:13.9","26:10","1.00","5:14","152","155","25","20","163","1.17","56","5:09","168","5:13","5:13"
"","","ラン","6","5:12.2","31:22","1.00","5:12","154","157","11","13","164","1.17","57","5:05","169","5:12.2","5:12"
"","","ラン","7","5:17.5","36:40","1.00","5:17","152","155","8","12","165","1.15","56","5:08","171","5:17","5:17"
"","","ラン","8","5:18.8","41:59","1.00","5:19","152","157","8","6","165","1.14","55","5:04","169","5:18.8","5:19"
"","","ラン","9","0:17.8","42:16","0.06","5:19","156","157","3","0","165","1.14","3","5:04","166","0:17","5:05"
"","","ラン","10","0:21.3","42:38","0.10","3:33","155","161","0","0","162","1.74","4","3:18","204","0:21.3","3:33"
"","","回復","11","1:00","43:38","0.17","5:52","162","169","0","0","159","1.07","11","3:30","198","0:59","5:46"
"","2","ラン","12","0:22.0","44:00","0.10","3:40","152","157","0","0","169","1.61","4","3:34","199","0:22.0","3:40"
"","","回復","13","1:00","45:00","0.15","6:39","157","163","0","1","159","0.95","11","3:37","191","0:59","6:33"
"","3","ラン","14","0:21.9","45:21","0.10","3:39","150","157","2","0","153","1.80","4","3:25","204","0:21.9","3:39"
"","","回復","15","1:00","46:21","0.16","6:21","164","171","1","0","152","1.03","10","3:33","200","0:59","6:15"
"","4","ラン","16","0:00.6","46:22","0.01","1:53","148","148","0","0","158","3.37","0","6:37","158","0:00.6","1:53"
"","概要","--","--","46:22","46:22","8.84","5:15","150","171","76","74","163","1.17","494","3:18","204","46:17","5:14"
