"","インターバル","ステップタイプ","ラップ","タイム","累積時間","距離","平均ペース","平均心拍数","最大心拍数","総上昇量","総下降量","平均ピッチ","平均歩幅","カロリー","最高ペース","最高ピッチ","移動時間","平均移動ペース"
"","1","ラン","1 - 11","49:22","49:22","9.43","5:14","157","167","82","83","164","1.17","541","3:21","202","49:20","5:14"
"","","ラン","1","5:19.4","5:19.4","1.00","5:19","140","155","5","9","162","1.16","55","5:10","168","5:19.4","5:19"
"","","ラン","2","5:09.7","10:29","1.00","5:10","158","163","2","5","166","1.17","58","5:04","168","5:09.7","5:10"
"","","ラン","3","5:20.4","15:50","1.00","5:20","157","166","15","9","164","1.14","59","5:04","168","5:20","5:20"
"","","ラン","4","5:20.1","21:10","1.00","5:20","158","161","9","8","164","1.15","58","5:12","166","5:20","5:20"
"","","ラン","5","5:20.0","26:30","1.00","5:20","158","161","7","15","164","1.14","58","5:14","166","5:20.0","5:20"
"","","ラン","6","5:11.6","31:41","1.00","5:12","159","165","15","8","163","1.18","58","5:06","166","5:11.6","5:12"
"","","ラン","7","5:11.6","36:53","1.00","5:12","160","164","7","12","163","1.18","58","5:07","166","5:11","5:11"
"","","ラン","8","5:11.2","42:04","1.00","5:11","159","163","10","12","164","1.18","57","5:05","168","5:11.2","5:11"
"","","ラン","9","5:14.7","47:19","1.00","5:15","159","166","5","3","164","1.16","58","5:03","168","5:14","5:14"
"","","ラン","10","1:42.6","49:01","0.33","5:12","158","161","2","3","164","1.17","18","5:12","166","1:42","5:10"
"","","ラン","11","0:21.1","49:22","0.10","3:31","163","167","5","0","126","2.26","4","3:21","202","0:21.1","3:31"
"","","回復","12","1:00","50:22","0.15","6:37","167","170","0","0","162","0.93","10","3:36","197","0:59","6:30"
"","2","ラン","13","0:22.0","50:44","0.10","3:40","158","163","0","1","189","1.45","4","3:28","202","0:22.0","3:40"
"","","回復","14","1:00","51:44","0.15","6:37","166","169","0","0","161","0.94","11","3:38","197","0:59","6:30"
"","3","ラン","15","0:20.8","52:05","0.10","3:28","160","163","0","0","176","1.64","4","3:11","206","0:20.8","3:28"
"","","回復","16","1:00","53:05","0.18","5:25","168","170","1","0","163","1.13","11","3:25","200","0:59","5:20"
"","4","ラン","17","0:00.4","53:05","0","0","165","165","0","0","162","0","--","5:31","162","0:00.4","0"
"","概要","--","--","53:05","53:05","10.12","5:15","157","170","84","84","164","1.17","582","3:11","206","53:00","5:14"
