É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/05/16 06:05:29

,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq,ïƒéq
îNåéì˙éû,ãCâ∑(Åé),ãCâ∑(Åé),ãCâ∑(Åé),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~ê·(cm),ç~ê·(cm),ç~ê·(cm),ç~ê·(cm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ì˙éÀó (MJ/áu),ì˙éÀó (MJ/áu),ì˙éÀó (MJ/áu),ëäëŒéºìx(Åì),ëäëŒéºìx(Åì),ëäëŒéºìx(Åì),èˆãCà≥(hPa),èˆãCà≥(hPa),èˆãCà≥(hPa),ìVãC,ìVãC,ìVãC,â_ó (10ï™î‰),â_ó (10ï™î‰),â_ó (10ï™î‰),éãíˆ(km),éãíˆ(km),éãíˆ(km)
,,,,,,,,,,,,,,,,,,ïóå¸,ïóå¸,,,,,,,,,,,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2026/4/29 1:00:00,16.1,8,1,0,1,8,1,,,1,1,0,1,8,1,1.1,8,ñkñkêº,8,1,,0,1,74,8,1,13.5,8,1,4,8,1,,0,1,20.0,8,1
2026/4/29 2:00:00,16.0,8,1,0,1,8,1,,,1,1,0,1,8,1,1.0,8,ñkñkêº,8,1,,0,1,77,8,1,14.0,8,1,4,8,1,,0,1,19.2,8,1
2026/4/29 3:00:00,15.9,8,1,0,1,8,1,,,1,1,0,1,8,1,0.7,8,êº,8,1,,0,1,77,8,1,13.9,8,1,4,8,1,,0,1,20.0,8,1
2026/4/29 4:00:00,15.6,8,1,0,1,8,1,,,1,1,0,1,8,1,1.3,8,êºñkêº,8,1,,0,1,79,8,1,14.0,8,1,4,8,1,,0,1,17.3,8,1
2026/4/29 5:00:00,15.3,8,1,0,1,8,1,,,1,1,0,1,8,1,1.7,8,ñkêº,8,1,,0,1,79,8,1,13.7,8,1,4,8,1,,0,1,20.0,8,1
2026/4/29 6:00:00,15.3,8,1,0,1,8,1,,,1,1,0.0,0,8,1,1.8,8,êºñkêº,8,1,,0,1,78,8,1,13.6,8,1,4,8,1,,0,1,20.0,8,1
2026/4/29 7:00:00,14.9,8,1,0.0,0,8,1,,,1,1,0.0,0,8,1,2.3,8,ñkñkêº,8,1,,0,1,82,8,1,13.9,8,1,4,8,1,,0,1,20.0,8,1
